"id","province_id","name","created_at","updated_at"
"3327","33","KABUPATEN PEMALANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3328","33","KABUPATEN TEGAL","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3329","33","KABUPATEN BREBES","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3371","33","KOTA MAGELANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3372","33","KOTA SURAKARTA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3373","33","KOTA SALATIGA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3374","33","KOTA SEMARANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3375","33","KOTA PEKALONGAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3376","33","KOTA TEGAL","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3401","34","KABUPATEN KULON PROGO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3402","34","KABUPATEN BANTUL","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3403","34","KABUPATEN GUNUNG KIDUL","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3404","34","KABUPATEN SLEMAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3471","34","KOTA YOGYAKARTA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3501","35","KABUPATEN PACITAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3502","35","KABUPATEN PONOROGO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3503","35","KABUPATEN TRENGGALEK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3504","35","KABUPATEN TULUNGAGUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3505","35","KABUPATEN BLITAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3506","35","KABUPATEN KEDIRI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3507","35","KABUPATEN MALANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3508","35","KABUPATEN LUMAJANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3509","35","KABUPATEN JEMBER","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3510","35","KABUPATEN BANYUWANGI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3511","35","KABUPATEN BONDOWOSO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3512","35","KABUPATEN SITUBONDO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3513","35","KABUPATEN PROBOLINGGO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3514","35","KABUPATEN PASURUAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3515","35","KABUPATEN SIDOARJO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3516","35","KABUPATEN MOJOKERTO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3517","35","KABUPATEN JOMBANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3518","35","KABUPATEN NGANJUK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3519","35","KABUPATEN MADIUN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3520","35","KABUPATEN MAGETAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3521","35","KABUPATEN NGAWI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3522","35","KABUPATEN BOJONEGORO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3523","35","KABUPATEN TUBAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3524","35","KABUPATEN LAMONGAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3525","35","KABUPATEN GRESIK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3526","35","KABUPATEN BANGKALAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3527","35","KABUPATEN SAMPANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3528","35","KABUPATEN PAMEKASAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3529","35","KABUPATEN SUMENEP","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3571","35","KOTA KEDIRI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3572","35","KOTA BLITAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3573","35","KOTA MALANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3574","35","KOTA PROBOLINGGO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3575","35","KOTA PASURUAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3576","35","KOTA MOJOKERTO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3577","35","KOTA MADIUN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3578","35","KOTA SURABAYA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3579","35","KOTA BATU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3601","36","KABUPATEN PANDEGLANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3602","36","KABUPATEN LEBAK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3603","36","KABUPATEN TANGERANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3604","36","KABUPATEN SERANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3671","36","KOTA TANGERANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3672","36","KOTA CILEGON","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3673","36","KOTA SERANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3674","36","KOTA TANGERANG SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5101","51","KABUPATEN JEMBRANA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5102","51","KABUPATEN TABANAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5103","51","KABUPATEN BADUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5104","51","KABUPATEN GIANYAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5105","51","KABUPATEN KLUNGKUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5106","51","KABUPATEN BANGLI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5107","51","KABUPATEN KARANG ASEM","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5108","51","KABUPATEN BULELENG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5171","51","KOTA DENPASAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5201","52","KABUPATEN LOMBOK BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5202","52","KABUPATEN LOMBOK TENGAH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5203","52","KABUPATEN LOMBOK TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5204","52","KABUPATEN SUMBAWA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5205","52","KABUPATEN DOMPU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5206","52","KABUPATEN BIMA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"5207","52","KABUPATEN SUMBAWA BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
